"","Player","FGA","X2PFG.","X3PFG.","PTS","ASB","AST.TOV","ORtg"
"1","Cameron Johnson",11.4,0.56,0.47,16.8,3.9,1.53,131.2
"2","Rui Hachimura",12.5,0.63,0.5,20.1,3.4,0.89,127.9
"3","Chuma Okeke",8.9,0.58,0.39,11.9,4.8,1.18,121.7
"4","Eric Paschall",11.8,0.54,0.36,16.5,3.5,1,115.6
"5","Ignas Brazdeikis",10.9,0.49,0.41,15,2.1,0.75,115.1
"6","Robert Franks",15.1,0.58,0.4,21.6,4,0.81,113.1
"7","Markis McDuffie",14.2,0.46,0.35,17.9,2.2,0.65,112
"8","Tyler Bey",9.2,0.58,0.29,13.1,2.6,0.3,111.9
"9","Nassir Little",7.3,0.51,0.29,9.5,1.7,0.54,111.4
"10","Admiral Schofield",13.5,0.51,0.4,16.3,3.4,1,109.2
"11","Jordan Nwora",13.3,0.52,0.37,17.5,2.7,0.57,109.1
"12","Kris Wilkes",14.1,0.51,0.33,17.1,2.7,0.89,107.6
"13","Jaylen Hoard",10.7,0.5,0.24,13.1,2.7,0.6,102.3
"14","Lamar Stevens",16.8,0.46,0.21,19.8,3.5,0.71,102
"15","Louis King",10.8,0.48,0.35,12.6,2.6,0.67,101.5
"16","Oshae Brissett",11,0.44,0.24,12.3,3.6,0.95,100
"17","Chris Smith",5.7,0.46,0.28,6.3,2,0.93,95.2
